recordID,scientificName,gbif_JSON,gbif_family,EOL-ID,genus,species,mo,dy,yr,date,period,plot,note1,stake,locality,coordinates,county,state,country,sex
16854,Baiomys taylori (Thomas 1887),"{""usageKey"":2438866,""scientificName"":""Baiomys taylori (Thomas, 1887)"",""canonicalName"":""Baiomys taylori"",""rank"":""SPECIES"",""status"":""ACCEPTED"",""confidence"":99,""matchType"":""EXACT"",""kingdom"":""Animalia"",""phylum"":""Chordata"",""order"":""Rodentia"",""family"":""Cricetidae"",""genus"":""Baiomys"",""species"":""Baiomys taylori"",""kingdomKey"":1,""phylumKey"":44,""classKey"":359,""orderKey"":1459,""familyKey"":3240723,""genusKey"":2438864,""speciesKey"":2438866,""synonym"":false,""class"":""Mammalia""}",Cricetidae,pages/328451,Baiomys,taylori,12,5,1989,1989-12-05T00:00:00Z,141,3,,56,,,,,,M
16951,Baiomys taylori (Thomas 1887),"{""usageKey"":2438866,""scientificName"":""Baiomys taylori (Thomas, 1887)"",""canonicalName"":""Baiomys taylori"",""rank"":""SPECIES"",""status"":""ACCEPTED"",""confidence"":99,""matchType"":""EXACT"",""kingdom"":""Animalia"",""phylum"":""Chordata"",""order"":""Rodentia"",""family"":""Cricetidae"",""genus"":""Baiomys"",""species"":""Baiomys taylori"",""kingdomKey"":1,""phylumKey"":44,""classKey"":359,""orderKey"":1459,""familyKey"":3240723,""genusKey"":2438864,""speciesKey"":2438866,""synonym"":false,""class"":""Mammalia""}",Cricetidae,pages/328451,Baiomys,taylori,1,7,1990,1990-01-07T00:00:00Z,142,5,,41,,,,,,F
17174,Baiomys taylori (Thomas 1887),"{""usageKey"":2438866,""scientificName"":""Baiomys taylori (Thomas, 1887)"",""canonicalName"":""Baiomys taylori"",""rank"":""SPECIES"",""status"":""ACCEPTED"",""confidence"":99,""matchType"":""EXACT"",""kingdom"":""Animalia"",""phylum"":""Chordata"",""order"":""Rodentia"",""family"":""Cricetidae"",""genus"":""Baiomys"",""species"":""Baiomys taylori"",""kingdomKey"":1,""phylumKey"":44,""classKey"":359,""orderKey"":1459,""familyKey"":3240723,""genusKey"":2438864,""speciesKey"":2438866,""synonym"":false,""class"":""Mammalia""}",Cricetidae,pages/328451,Baiomys,taylori,2,25,1990,1990-02-25T00:00:00Z,144,5,,13,,,,,,M
17190,Baiomys taylori (Thomas 1887),"{""usageKey"":2438866,""scientificName"":""Baiomys taylori (Thomas, 1887)"",""canonicalName"":""Baiomys taylori"",""rank"":""SPECIES"",""status"":""ACCEPTED"",""confidence"":99,""matchType"":""EXACT"",""kingdom"":""Animalia"",""phylum"":""Chordata"",""order"":""Rodentia"",""family"":""Cricetidae"",""genus"":""Baiomys"",""species"":""Baiomys taylori"",""kingdomKey"":1,""phylumKey"":44,""classKey"":359,""orderKey"":1459,""familyKey"":3240723,""genusKey"":2438864,""speciesKey"":2438866,""synonym"":false,""class"":""Mammalia""}",Cricetidae,pages/328451,Baiomys,taylori,2,25,1990,1990-02-25T00:00:00Z,144,5,,24,,,,,,F
17374,Baiomys taylori (Thomas 1887),"{""usageKey"":2438866,""scientificName"":""Baiomys taylori (Thomas, 1887)"",""canonicalName"":""Baiomys taylori"",""rank"":""SPECIES"",""status"":""ACCEPTED"",""confidence"":99,""matchType"":""EXACT"",""kingdom"":""Animalia"",""phylum"":""Chordata"",""order"":""Rodentia"",""family"":""Cricetidae"",""genus"":""Baiomys"",""species"":""Baiomys taylori"",""kingdomKey"":1,""phylumKey"":44,""classKey"":359,""orderKey"":1459,""familyKey"":3240723,""genusKey"":2438864,""speciesKey"":2438866,""synonym"":false,""class"":""Mammalia""}",Cricetidae,pages/328451,Baiomys,taylori,4,24,1990,1990-04-24T00:00:00Z,146,1,,17,,,,,,M
17486,Baiomys taylori (Thomas 1887),"{""usageKey"":2438866,""scientificName"":""Baiomys taylori (Thomas, 1887)"",""canonicalName"":""Baiomys taylori"",""rank"":""SPECIES"",""status"":""ACCEPTED"",""confidence"":99,""matchType"":""EXACT"",""kingdom"":""Animalia"",""phylum"":""Chordata"",""order"":""Rodentia"",""family"":""Cricetidae"",""genus"":""Baiomys"",""species"":""Baiomys taylori"",""kingdomKey"":1,""phylumKey"":44,""classKey"":359,""orderKey"":1459,""familyKey"":3240723,""genusKey"":2438864,""speciesKey"":2438866,""synonym"":false,""class"":""Mammalia""}",Cricetidae,pages/328451,Baiomys,taylori,4,26,1990,1990-04-26T00:00:00Z,146,3,,77,,,,,,M
17566,Baiomys taylori (Thomas 1887),"{""usageKey"":2438866,""scientificName"":""Baiomys taylori (Thomas, 1887)"",""canonicalName"":""Baiomys taylori"",""rank"":""SPECIES"",""status"":""ACCEPTED"",""confidence"":99,""matchType"":""EXACT"",""kingdom"":""Animalia"",""phylum"":""Chordata"",""order"":""Rodentia"",""family"":""Cricetidae"",""genus"":""Baiomys"",""species"":""Baiomys taylori"",""kingdomKey"":1,""phylumKey"":44,""classKey"":359,""orderKey"":1459,""familyKey"":3240723,""genusKey"":2438864,""speciesKey"":2438866,""synonym"":false,""class"":""Mammalia""}",Cricetidae,pages/328451,Baiomys,taylori,5,25,1990,1990-05-25T00:00:00Z,147,3,,46,,,,,,F
17616,Baiomys taylori (Thomas 1887),"{""usageKey"":2438866,""scientificName"":""Baiomys taylori (Thomas, 1887)"",""canonicalName"":""Baiomys taylori"",""rank"":""SPECIES"",""status"":""ACCEPTED"",""confidence"":99,""matchType"":""EXACT"",""kingdom"":""Animalia"",""phylum"":""Chordata"",""order"":""Rodentia"",""family"":""Cricetidae"",""genus"":""Baiomys"",""species"":""Baiomys taylori"",""kingdomKey"":1,""phylumKey"":44,""classKey"":359,""orderKey"":1459,""familyKey"":3240723,""genusKey"":2438864,""speciesKey"":2438866,""synonym"":false,""class"":""Mammalia""}",Cricetidae,pages/328451,Baiomys,taylori,6,22,1990,1990-06-22T00:00:00Z,148,3,,17,,,,,,F
17773,Baiomys taylori (Thomas 1887),"{""usageKey"":2438866,""scientificName"":""Baiomys taylori (Thomas, 1887)"",""canonicalName"":""Baiomys taylori"",""rank"":""SPECIES"",""status"":""ACCEPTED"",""confidence"":99,""matchType"":""EXACT"",""kingdom"":""Animalia"",""phylum"":""Chordata"",""order"":""Rodentia"",""family"":""Cricetidae"",""genus"":""Baiomys"",""species"":""Baiomys taylori"",""kingdomKey"":1,""phylumKey"":44,""classKey"":359,""orderKey"":1459,""familyKey"":3240723,""genusKey"":2438864,""speciesKey"":2438866,""synonym"":false,""class"":""Mammalia""}",Cricetidae,pages/328451,Baiomys,taylori,8,17,1990,1990-08-17T00:00:00Z,150,3,,12,,,,,,F
17935,Baiomys taylori (Thomas 1887),"{""usageKey"":2438866,""scientificName"":""Baiomys taylori (Thomas, 1887)"",""canonicalName"":""Baiomys taylori"",""rank"":""SPECIES"",""status"":""ACCEPTED"",""confidence"":99,""matchType"":""EXACT"",""kingdom"":""Animalia"",""phylum"":""Chordata"",""order"":""Rodentia"",""family"":""Cricetidae"",""genus"":""Baiomys"",""species"":""Baiomys taylori"",""kingdomKey"":1,""phylumKey"":44,""classKey"":359,""orderKey"":1459,""familyKey"":3240723,""genusKey"":2438864,""speciesKey"":2438866,""synonym"":false,""class"":""Mammalia""}",Cricetidae,pages/328451,Baiomys,taylori,10,16,1990,1990-10-16T00:00:00Z,152,3,,63,,,,,,F
